Day,Date,Total cases,New cases,Total death,New death,Case growth factor,Death growth factor,Total tests,New tests,Total recovered,Daily recovered,Ratio of recovered ,Active cases,Case/Test
1,3/10/2020,1,1,0,0,0,0,,0,0,0,0,1,0
2,3/11/2020,1,0,0,0,0,0,,0,0,0,0,1,0
3,3/12/2020,1,0,0,0,0,0,,0,0,0,0,1,0
4,3/13/2020,5,4,0,0,0,0,,0,0,0,0,5,0
5,3/14/2020,6,1,0,0,0.25,0,,0,0,0,0,6,0
6,3/15/2020,18,12,0,0,12,0,,0,0,0,0,18,0
7,3/16/2020,47,29,0,0,2.42,0,,0,0,0,0,47,0
8,3/17/2020,98,51,1,1,1.76,0,,0,0,0,0,97,0
9,3/18/2020,191,93,2,1,1.82,1,10000,0,0,0,0,189,0
10,3/19/2020,359,168,4,2,1.81,2,11981,1981,0,0,0,355,0.0848
11,3/20/2020,670,311,9,5,1.85,2.5,15637,3656,0,0,0,661,0.0851
12,3/21/2020,947,277,21,12,0.89,2.4,18607,2970,0,0,0,926,0.0933
13,3/22/2020,1236,289,30,9,1.04,0.75,20345,1738,0,0,0,1206,0.1663
14,3/23/2020,1529,293,37,7,1.01,0.78,24017,3672,0,0,0,1492,0.0798
15,3/24/2020,1872,343,44,7,1.17,1,27969,3952,0,0,0,1828,0.0868
16,3/25/2020,2433,561,59,15,1.64,2.14,33004,5035,26,26,0.000000321,2348,0.1114
17,3/26/2020,3629,1196,75,16,2.13,1.07,40290,7286,26,0,0,3528,0.1642
18,3/27/2020,5698,2069,92,17,1.73,1.06,47823,7533,42,16,1.98E-07,5564,0.2747
19,3/28/2020,7402,1704,108,16,0.82,0.94,55464,7641,70,28,3.46E-07,7224,0.223
20,3/29/2020,9217,1815,131,23,1.07,1.44,65446,9982,105,35,4.32E-07,8981,0.1818
21,3/30/2020,10827,1610,168,37,0.89,1.61,76981,11535,162,57,7.04E-07,10497,0.1396
22,3/31/2020,13531,2704,214,46,1.68,1.24,92403,15422,243,81,0.000001,13074,0.1753
23,4/1/2020,15679,2148,277,63,0.79,1.37,106799,14396,333,90,1.11E-06,15069,0.1492
24,4/2/2020,18135,2456,356,79,1.14,1.25,125556,18757,415,82,1.01E-06,17364,0.1309
25,4/3/2020,20921,2786,425,69,1.13,0.87,141716,16160,484,69,8.52E-07,20012,0.1724
26,4/4/2020,23934,3013,501,76,1.08,1.1,161380,19664,786,302,3.73E-06,22647,0.1532
27,4/5/2020,27069,3135,574,73,1.04,0.96,181445,20065,1042,256,3.16E-06,25453,0.1562
28,4/6/2020,30217,3148,649,75,1,1.03,202845,21400,1326,284,3.51E-06,28242,0.1471
29,4/7/2020,34109,3892,725,76,1.24,1.01,222868,20023,1582,256,3.16E-06,31802,0.1944
30,4/8/2020,38226,4117,812,87,1.06,1.14,247768,24900,1846,264,3.26E-06,35568,0.1653
31,4/9/2020,42282,4056,908,96,0.99,1.1,276346,28578,2142,296,3.65E-06,39232,0.1419
32,4/10/2020,47029,4747,1006,98,1.17,1.02,307210,30864,2423,281,3.47E-06,43600,0.1538
33,4/11/2020,52167,5138,1101,95,1.08,0.97,340380,33170,2965,542,6.69E-06,48101,0.1549
34,4/12/2020,56956,4789,1198,97,0.93,1.02,376100,35720,3446,481,5.94E-06,52312,0.1341
35,4/13/2020,61049,4093,1296,98,0.85,1.01,410556,34456,3957,511,6.31E-06,55796,0.1188
36,4/14/2020,65111,4062,1403,107,0.99,1.09,443626,33070,4799,842,1.04E-05,58909,0.1228
37,4/15/2020,69392,4281,1518,115,1.05,1.07,477716,34090,5674,875,1.08E-05,62200,0.1256
38,4/16/2020,74193,4801,1643,125,1.12,1.09,518143,40427,7089,1415,1.75E-05,65461,0.1188
39,4/17/2020,78546,4353,1769,126,0.91,1.01,558413,40270,8631,1542,0.000019037,68146,0.1081
40,4/18/2020,82329,3783,1890,121,0.87,0.96,598933,40520,10453,1822,2.25E-05,69986,0.0934
41,4/19/2020,86306,3977,2017,127,1.05,1.05,634277,35344,11976,1523,1.88E-05,72313,0.1125
42,4/20/2020,90980,4674,2140,123,1.18,0.97,673980,39703,13430,1454,1.80E-05,75410,0.1177
43,4/21/2020,95591,4611,2259,119,0.99,0.97,713409,39429,14918,1488,1.84E-05,78414,0.1169
44,4/22/2020,98674,3083,2376,117,0.67,0.98,750944,37535,16477,1559,1.92E-05,79821,0.0821
45,4/23/2020,101790,3116,2491,115,1.01,0.98,791906,40962,18491,2014,2.49E-05,80808,0.0761
46,4/24/2020,104912,3122,2600,109,1,0.95,830257,38351,21737,3246,4.01E-05,80575,0.0814
47,4/25/2020,107773,2861,2706,106,0.92,0.97,868565,38308,25582,3845,4.75E-05,79485,0.0747
48,4/26/2020,110130,2357,2805,99,0.82,0.93,898742,30177,29140,3558,4.39E-05,78185,0.0781
49,4/27/2020,112261,2131,2900,95,0.9,0.96,918885,20143,33791,4651,5.74E-05,75570,0.1058
50,4/28/2020,114653,2392,2992,92,1.12,0.97,948115,29230,38809,5018,6.20E-05,72852,0.0818
51,4/29/2020,117589,2936,3081,89,1.23,0.97,991613,43498,44040,5231,6.46E-05,70468,0.0675
52,4/30/2020,120204,2615,3174,93,0.89,1.04,1033617,42004,48886,4846,5.98E-05,68144,0.0623
53,5/1/2020,122392,2188,3258,84,0.84,0.9,1075048,41431,53808,4922,6.08E-05,65326,0.0528
54,5/2/2020,124375,1983,3336,78,0.91,0.93,1111366,36318,58259,4451,5.50E-05,62780,0.0546
55,5/3/2020,126045,1670,3397,61,0.84,0.78,1135367,24001,63151,4892,6.04E-05,59497,0.0696
56,5/4/2020,127659,1614,3461,64,0.97,1.05,1171138,35771,68166,5015,6.19E-05,56032,0.0451
57,5/5/2020,129491,1832,3520,59,1.14,0.92,1204421,33283,73285,5119,6.32E-05,52686,0.055
58,5/6/2020,131744,2253,3584,64,1.23,1.08,1234724,30303,78202,4917,6.07E-05,49958,0.0743
59,5/7/2020,133721,1977,3641,57,0.88,0.89,1265119,30395,82984,4782,0.000059037,47096,0.065
60,5/8/2020,135569,1848,3689,48,0.93,0.84,1298806,33687,86396,3412,4.21E-05,45484,0.0549
61,5/9/2020,137115,1546,3739,50,0.84,1.04,1334411,35605,89480,3084,3.81E-05,43896,0.0434
62,5/10/2020,138657,1542,3786,47,1,0.94,1370598,36187,92691,3211,0.000039642,42180,0.0426
63,5/11/2020,139771,1114,3841,55,0.72,1.17,1403320,32722,95780,3089,3.81E-05,40150,0.034
64,5/12/2020,141475,1704,3894,53,1.53,0.96,1440671,37351,98889,3109,3.84E-05,38692,0.0456
65,5/13/2020,143114,1639,3952,58,0.96,1.09,1474003,33332,101715,2826,3.49E-05,37447,0.0492
66,5/14/2020,144749,1635,4007,55,1,0.95,1508824,34821,104030,2315,2.86E-05,36712,0.047
67,5/15/2020,146457,1708,4055,48,1.04,0.87,1547389,38565,106133,2103,0.000025963,36269,0.0443
68,5/16/2020,148067,1610,4096,41,0.94,0.85,1589625,42236,108137,2004,2.47E-05,35834,0.0381
69,5/17/2020,149435,1368,4140,44,0.85,1.07,1624994,35369,109962,1825,2.25E-05,35333,0.0387
70,5/18/2020,150593,1158,4171,31,0.85,0.7,1650135,25141,111577,1615,1.99E-05,34845,0.0461
71,5/19/2020,151615,1022,4199,28,0.88,0.9,1675517,25382,112895,1318,1.63E-05,34521,0.0403
72,5/20/2020,152587,972,4222,23,0.95,0.82,1696355,20838,113987,1092,1.35E-05,34378,0.0466
73,5/21/2020,153548,961,4249,27,0.99,1.17,1729988,33633,114990,1003,1.24E-05,34309,0.0286
74,5/22/2020,154500,952,4276,27,0.99,1,1767495,37507,116111,1121,1.38E-05,34113,0.0254
75,5/23/2020,155686,1186,4308,32,1.25,1.19,1807673,40178,117602,1491,1.84E-05,33776,0.0295
76,5/24/2020,156827,1141,4340,32,0.96,1,1832262,24589,118694,1092,1.35E-05,33793,0.0464
77,5/25/2020,157814,987,4369,29,0.87,0.91,1853754,21492,120015,1321,1.63E-05,33430,0.0459
78,5/26/2020,158762,948,4397,28,0.96,0.97,1873607,19853,121507,1492,1.84E-05,32858,0.0478
79,5/27/2020,159797,1035,4431,34,1.09,1.21,1894650,21043,122793,1286,1.59E-05,32573,0.0492
80,5/28/2020,160979,1182,4461,30,1.14,0.88,1928209,33559,124369,1576,1.95E-05,32149,0.0352
81,5/29/2020,162120,1141,4489,28,0.97,0.93,1964364,36155,125963,1594,1.97E-05,31668,0.0316
82,5/30/2020,163103,983,4515,26,0.86,0.93,2003594,39230,126984,1021,1.26E-05,31604,0.0251
83,5/31/2020,163942,839,4540,25,0.85,0.96,2039194,35600,127973,989,1.22E-05,31429,0.0236
84,6/1/2020,164769,827,4563,23,0.99,0.92,2070719,31525,128947,974,1.20E-05,31259,0.0262
85,6/2/2020,165555,786,4585,22,0.95,0.96,2103044,32325,129921,974,1.20E-05,31049,0.0243
86,6/3/2020,166422,867,4609,24,1.1,1.09,2155349,52305,130852,931,1.15E-05,30961,0.0166
87,6/4/2020,167410,988,4630,21,1.14,0.88,2209583,54234,131778,926,1.14E-05,31002,0.0182
88,6/5/2020,168340,930,4648,18,0.94,0.86,2267412,57829,133400,1622,2.00E-05,30292,0.0161
89,6/6/2020,169218,878,4669,21,0.94,1.17,2303258,35846,135322,1922,2.37E-05,29227,0.0245
90,6/7/2020,170132,914,4692,23,1.04,1.1,2338593,35335,137969,2647,3.27E-05,27471,0.0259
91,6/8/2020,171121,989,4711,19,1.08,0.83,2377954,39361,141380,3411,4.21E-05,25030,0.0251
92,6/9/2020,172114,993,4729,18,1,0.95,2415179,37225,144598,3218,3.97E-05,22787,0.0267
93,6/10/2020,173036,922,4746,17,0.93,0.94,2451700,36521,146839,2241,2.77E-05,21451,0.0252
94,6/11/2020,174023,987,4763,17,1.07,1,2500890,49190,147860,1021,1.26E-05,21400,0.0201
95,6/12/2020,175218,1195,4778,15,1.21,0.88,2541903,41013,149102,1242,1.53E-05,21338,0.0291
96,6/13/2020,176677,1459,4792,14,1.22,0.93,2586995,45092,150087,985,1.22E-05,21798,0.0324
97,6/14/2020,178239,1562,4807,15,1.07,1.07,2632171,45176,151417,1330,1.64E-05,22015,0.0346
98,6/15/2020,179831,1592,4825,18,1.02,1.2,2674203,42032,152364,947,1.17E-05,22642,0.0379
99,6/16/2020,181298,1467,4842,17,0.92,0.94,2721003,46800,153379,1015,1.25E-05,23077,0.0313
100,6/17/2020,182727,1429,4861,19,0.97,1.12,2773904,52901,154640,1261,1.56E-05,23226,0.027
101,6/18/2020,184031,1304,4882,21,0.91,1.11,2822316,48412,156022,1382,1.71E-05,23127,0.0269
102,6/19/2020,185245,1214,4905,23,0.93,1.1,2863632,41316,157516,1494,1.84E-05,22824,0.0294
103,6/20/2020,186493,1248,4927,22,1.03,0.96,2904744,41112,158828,1312,1.62E-05,22738,0.0304
104,6/21/2020,187685,1192,4950,23,0.96,1.05,2945240,40496,160240,1412,1.74E-05,22495,0.0294
105,6/22/2020,188897,1212,4974,24,1.02,1.04,2986653,41413,161533,1293,1.60E-05,22390,0.0293
106,6/23/2020,190165,1268,5001,27,1.05,1.13,3029635,42982,162848,1315,1.62E-05,22316,0.0295
107,6/24/2020,191657,1492,5025,24,1.18,0.89,3083121,53486,164234,1386,1.71E-05,22398,0.0279
108,6/25/2020,193115,1458,5046,21,0.98,0.88,3135424,52303,165706,1472,1.82E-05,22363,0.0279
109,6/26/2020,194511,1396,5065,19,0.96,0.9,3186622,51198,167198,1492,1.84E-05,22248,0.0273
110,6/27/2020,195883,1372,5082,17,0.98,0.89,3231835,45213,169182,1984,2.45E-05,21619,0.0303
111,6/28/2020,197239,1356,5097,15,0.99,0.88,3280144,48309,170595,1413,1.74E-05,21547,0.0281
112,6/29/2020,198613,1374,5115,18,1.01,1.2,3331158,51014,171809,1214,1.50E-05,21689,0.0269
113,6/30/2020,199906,1293,5131,16,0.94,0.89,3381650,50492,173111,1302,1.61E-05,21664,0.0256
114,7/1/2020,201098,1192,5150,19,0.92,1.19,3433963,52313,175422,2311,2.85E-05,20526,0.0228
115,7/2/2020,202284,1186,5167,17,0.99,0.89,3483677,49714,176965,1543,1.90E-05,20152,0.0239
116,7/3/2020,203456,1172,5186,19,0.99,1.12,3535818,52141,178278,1313,1.62E-05,19992,0.0225
117,7/4/2020,204610,1154,5206,20,0.98,1.05,3584066,48248,179492,1214,1.50E-05,19912,0.0239
118,7/5/2020,205758,1148,5225,19,0.99,0.95,3630480,46414,180680,1188,1.47E-05,19853,0.0247
119,7/6/2020,206844,1086,5241,16,0.95,0.84,3682673,52193,182995,2315,2.86E-05,18608,0.0208
120,7/7/2020,207897,1053,5260,19,0.97,1.19,3733218,50545,185292,2297,2.84E-05,17345,0.0208
121,7/8/2020,208938,1041,5282,22,0.99,1.16,3782520,49302,187511,2219,2.74E-05,16145,0.0211
122,7/9/2020,209962,1024,5300,18,0.98,0.82,3832623,50103,190390,2879,3.55E-05,14272,0.0204
123,7/10/2020,210965,1003,5323,23,0.98,1.28,3881410,48787,191883,1493,1.84E-05,13759,0.0206
